viral_NCBI_refname,description
NC_040792.1," Rice latent virus 1 isolate AU-NA63-2015, complete genome"
NC_040537.1," Rice latent virus 2 isolate AU-NA24-2015, complete genome"
NC_028144.1," Rice necrosis mosaic virus RNA 1, complete sequence"
NC_028145.1," Rice necrosis mosaic virus RNA 2, complete sequence"
NC_003759.1," Rice ragged stunt virus segment 5, complete sequence"
NC_003757.1," Rice ragged stunt virus segment 9, complete sequence"
NC_003749.1," Rice ragged stunt virus segment S1 P1 gene, complete cds"
NC_003769.1," Rice ragged stunt virus non-structural protein Pns10 gene, complete cds"
NC_003750.1," Rice ragged stunt virus segment S2 P2 gene, complete cds"
NC_003751.1," Rice ragged stunt virus segment S3 major core capsid protein gene, complete cds"
NC_003771.1," Rice ragged stunt virus RNA-dependent RNA polymerase and P4b genes, complete cds"
NC_003752.1," Rice ragged stunt virus segment S6 P6 gene, complete cds"
NC_003770.1," Rice ragged stunt virus non-structural protein Pns7 gene, complete cds"
NC_003758.1," Rice ragged stunt virus autocatalytic protease precurser gene, complete cds"
NC_040786.1," Rice stripe mosaic virus isolate GD-LD, complete genome"
NC_038775.1," Rice stripe necrosis virus segment RNA1, complete sequence"
NC_038774.1," Rice stripe necrosis virus segment RNA2, complete sequence"
NC_003755.1," Rice stripe virus RNA 1, complete sequence"
NC_003754.1," Rice stripe virus RNA 2, complete sequence"
NC_003776.1," Rice stripe virus RNA 3, complete sequence"
NC_003753.1," Rice stripe virus RNA 4, complete sequence"
NC_001914.1," Rice tungro bacilliform virus, complete genome"
NC_001632.1," Rice tungro spherical virus, complete genome"
NC_035452.1," Rice virus A isolate SK, complete genome"
NC_003380.1," Rice yellow mottle virus satellite, complete genome"
NC_001575.2," Rice yellow mottle virus complete genome, isolate CI4"
NC_003746.1," Rice yellow stunt virus, complete genome"
NC_019490.1," Riemerella phage RAP44, complete genome"
NC_014397.1," Rift Valley fever virus segment L, complete genome"
NC_014396.1," Rift Valley fever virus segment M, complete genome"
NC_014395.1," Rift Valley fever virus segment S, complete genome"
NC_006296.2," Rinderpest virus (strain Kabete O), complete genome"
NC_003675.1," Rio Bravo virus, genome"
NC_031958.1," UNVERIFIED: Rio Chico virus strain GAM 195, complete sequence"
NC_038674.1," Rio Negro virus strain AG80-663, complete genome"
NC_043605.1," Rio Preto da Eva virus strain BEAR540870 segment L RNA-dependent RNA polymerase gene, complete cds"
NC_043603.1," Rio Preto da Eva virus strain BEAR540870 segment M glycoprotein precursor, gene, complete cds"
NC_043604.1," Rio Preto da Eva virus strain BEAR540870 segment S nucleocapsid protein N gene, complete cds"
NC_031750.1," Riptortus pedestris virus-1, complete genome"
NC_040669.1," Riverside virus 1 strain RISV-Drava 1, complete genome"
NC_034534.1," Rochambeau virus nucleoprotein, phosphoprotein, matrix, hypothetical proteins, glycoprotein, hypothetical proteins, and polymerase genes, complete cds"
NC_040776.1," Rocio virus strain SPH 34675, complete genome"
NC_038695.1," Rockport virus isolate MSB57412 segment L, complete sequence"
NC_038694.1," Rockport virus isolate MSB57412 segment M, complete sequence"
NC_038696.1," Rockport virus isolate MSB57412 segment S, complete sequence"
NC_040535.1," Rodent arterivirus isolate RtMc-Arterivirus/Tibet2014, complete genome"
NC_048210.1," Rodent arterivirus isolate RtEi-Arterivirus/SX2014, complete genome"
NC_036583.1," Rodent astrovirus isolate GX-006, complete genome"
NC_046954.1," Rodent coronavirus isolate RtMruf-CoV-2/JL2014 ORF1ab polyprotein, hemagglutinin-esterase protein, spike glycoprotein, envelope protein, membrane protein, and nucleocapsid protein genes, complete cds"
NC_021153.1," Rodent hepacivirus, complete genome"
NC_038314.1," Rodent hepatovirus CIV459Lopsik2004 polyprotein gene, complete cds"
NC_038315.1," Rodent hepatovirus KEF121Sigmas2012 polyprotein gene, complete cds"
NC_028363.1," Rodent hepatovirus RMU101637Micarv2010 polyprotein gene, complete cds"
NC_040604.1," Rodent papillomavirus isolate RtRn-PV/GD2014, complete genome"
NC_021154.1," Rodent pegivirus isolate CC61, complete genome"
NC_025966.1," Rodent Torque teno virus 2 isolate RN_2_Se15, complete genome"
NC_040617.1," Rodent Torque teno virus 3 isolate 2, complete genome"
NC_040686.1," Rodent Torque teno virus 3 isolate 2192, complete genome"
NC_040546.1," Rodent Torque teno virus 3 isolate 250, complete genome"
NC_040801.1," Rodent Torque teno virus 4 isolate 188, complete genome"
NC_040547.1," Rodent Torque teno virus 4 isolate 319, complete genome"
NC_040618.1," Rodent Torque teno virus 6 isolate 2404, complete genome"
NC_040687.1," Rodent Torque teno virus 7 isolate 15, complete genome"
NC_020415.1," Rosa rugosa leaf distortion virus isolate MN-3, complete genome"
NC_024070.1," Rosavirus 2 strain GA7403, complete genome"
NC_031105.1," Rosavirus B strain RNCW0602091R polyprotein gene, complete cds"
NC_031106.1," Rosavirus C strain RATLC11A polyprotein gene, complete cds"
NC_038880.1," Rosavirus M-7 polyprotein gene, complete cds"
NC_010346.1," Rose cryptic virus 1 RNA 1, complete sequence"
NC_010347.1," Rose cryptic virus 1 RNA 2, complete sequence"
NC_010348.1," Rose cryptic virus 1 RNA 3, complete sequence"
NC_024695.1," Rose leaf curl betasatellite isolate AS23, complete sequence"
NC_024687.1," Rose leaf curl virus isolate AS24, complete genome"
NC_024906.1," Rose leaf rosette-associated virus isolate RLRaV-CWR.1, complete genome"
NC_030938.1," Rosellinia necatrix endornavirus 1 genomic RNA, complete genome, strain: W1141"
NC_024485.1," Rosellinia necatrix fusarivirus 1 genomic RNA, complete genome, strain: NW10"
NC_036590.1," Rosellinia necatrix hypovirus 1 genomic RNA, complete genome, strain: Rn-Ca"
NC_013462.1," Rosellinia necatrix megabirnavirus 1/W779 segment L1, complete genome"
NC_013463.1," Rosellinia necatrix megabirnavirus 1/W779 segment L2, complete genome"
NC_029125.1," Rosellinia necatrix megabirnavirus 2-W8 segment 1, complete sequence"
NC_029126.1," Rosellinia necatrix megabirnavirus 2-W8 segment 2, complete sequence"
NC_007537.1," Rosellinia necatrix partitivirus 1-W8 segment 1, complete genome"
NC_007538.1," Rosellinia necatrix partitivirus 1-W8 segment 2, complete genome"
NC_020234.1," Rosellinia necatrix partitivirus 2 RdRp gene for RNA-dependent RNA polymerase, complete cds"
NC_020235.1," Rosellinia necatrix partitivirus 2 CP gene for capsid protein, complete cds"
NC_028251.1," Rosellinia necatrix partitivirus 6 RdRp gene for RNA dependent RNA polymerase, complete cds, strain: W113"
NC_028250.1," Rosellinia necatrix partitivirus 6 CP gene for capsid protein, complete cds, strain: W113"
NC_036603.1," Rosellinia necatrix partitivirus 8 genomic RNA, segment RNA 1, complete sequence, strain: Rn-Bb"
NC_036600.1," Rosellinia necatrix partitivirus 8 genomic RNA, segment RNA 2, complete sequence, strain: Rn-Bb"
NC_016757.1," Rosellinia necatrix quadrivirus 1 segment 1, complete genome"
NC_016759.1," Rosellinia necatrix quadrivirus 1 segment 2, complete genome"
NC_016760.1," Rosellinia necatrix quadrivirus 1 segment 3, complete genome"
NC_016758.1," Rosellinia necatrix quadrivirus 1 segment 4, complete genome"
NC_021565.1," Rosellinia necatrix victorivirus 1 RNA, complete genome, isolate: W1029"
NC_015466.1," Roseobacter phage RDJL Phi 1, complete genome"
NC_041958.1," Roseobacter phage RDJL Phi 2, complete genome"
NC_002519.1, Roseophage SIO1 complete genome
NC_015298.1," Rose rosette virus RNA1, complete genome"
NC_015299.1," Rose rosette virus RNA2, complete genome"
NC_015300.1," Rose rosette virus RNA3, complete genome"
NC_015301.1," Rose rosette virus RNA4, complete genome"
NC_034979.1," Rose rosette virus strain SEQISO segment RNA5 p5 gene, complete cds"
NC_034980.1," Rose rosette virus strain SEQISO segment RNA6 p6a and p6b genes, complete cds"
NC_034981.1," Rose rosette virus strain SEQISO segment RNA7 p7 gene, complete cds"
NC_010806.1," Rose spring dwarf-associated virus, complete genome"
NC_019031.1," Rose yellow mosaic virus, complete genome"
NC_020999.1," Rose yellow vein virus strain RYVV-MN1, complete genome"
NC_005888.1," Ross's goose hepatitis B virus, complete genome"
NC_011507.2," Rotavirus A segment 1, complete genome"
NC_011506.2," Rotavirus A segment 2, complete genome"
NC_011508.2," Rotavirus A segment 3, complete genome"
NC_011510.2," Rotavirus A segment 4, complete genome"
NC_011500.2," Rotavirus A segment 5, complete genome"
NC_011509.2," Rotavirus A segment 6, complete genome"
NC_011501.2," Rotavirus A segment 7, complete genome"
NC_011502.2," Rotavirus A segment 8, complete genome"
NC_011503.2," Rotavirus A segment 9, complete genome"
NC_011504.2," Rotavirus A segment 10, complete genome"
NC_011505.2," Rotavirus A segment 11, complete genome"
NC_007547.1," Rotavirus C segment 1, complete sequence"
NC_007546.1," Rotavirus C segment 2, complete sequence"
NC_007572.1," Rotavirus C segment 3, complete sequence"
NC_007574.1," Rotavirus C segment 4, complete sequence"
NC_007570.1," Rotavirus C segment 5, complete sequence"
NC_007543.1," Rotavirus C segment 6, complete sequence"
NC_007544.1," Rotavirus C segment 7, complete sequence"
NC_007571.1," Rotavirus C segment 8, complete sequence"
NC_007545.1," Rotavirus C segment 9, complete sequence"
NC_007569.1," Rotavirus C segment 10, complete sequence"
NC_007573.1," Rotavirus C segment 11, complete sequence"
NC_014511.1," Rotavirus D chicken/05V0049/DEU/2005 segment 1, complete genome"
NC_014512.1," Rotavirus D chicken/05V0049/DEU/2005 segment 2, complete genome"
NC_014513.1," Rotavirus D chicken/05V0049/DEU/2005 segment 3, complete genome"
NC_014514.1," Rotavirus D chicken/05V0049/DEU/2005 segment 4, complete genome"
NC_014515.1," Rotavirus D chicken/05V0049/DEU/2005 segment 5, complete genome"
NC_014516.1," Rotavirus D chicken/05V0049/DEU/2005 segment 6, complete genome"
NC_014517.1," Rotavirus D chicken/05V0049/DEU/2005 segment 7, complete genome"
NC_014518.1," Rotavirus D chicken/05V0049/DEU/2005 segment 8, complete genome"
NC_014519.1," Rotavirus D chicken/05V0049/DEU/2005 segment 9, complete genome"
NC_014520.1," Rotavirus D chicken/05V0049/DEU/2005 segment 10, complete genome"
NC_014521.1," Rotavirus D chicken/05V0049/DEU/2005 segment 11, complete genome"
NC_021625.1," Rotavirus F chicken/03V0568/DEU/2003 segment 1, complete sequence"
NC_021626.1," Rotavirus F chicken/03V0568/DEU/2003 segment 2, complete sequence"
NC_021631.1," Rotavirus F chicken/03V0568/DEU/2003 segment 3, complete sequence"
NC_021630.1," Rotavirus F chicken/03V0568/DEU/2003 segment 4, complete sequence"
NC_021632.1," Rotavirus F chicken/03V0568/DEU/2003 segment 5, complete sequence"
NC_021635.1," Rotavirus F chicken/03V0568/DEU/2003 segment 6, complete sequence"
NC_021633.1," Rotavirus F chicken/03V0568/DEU/2003 segment 7, complete sequence"
NC_021628.1," Rotavirus F chicken/03V0568/DEU/2003 segment 8, complete sequence"
NC_021627.1," Rotavirus F chicken/03V0568/DEU/2003 segment 9, complete sequence"
NC_021629.1," Rotavirus F chicken/03V0568/DEU/2003 segment 10, complete sequence"
NC_021634.1," Rotavirus F chicken/03V0568/DEU/2003 segment 11, complete sequence"
NC_021590.1," Rotavirus G chicken/03V0567/DEU/2003 segment 1, complete sequence"
NC_021580.1," Rotavirus G chicken/03V0567/DEU/2003 segment 2, complete sequence"
NC_021581.1," Rotavirus G chicken/03V0567/DEU/2003 segment 3, complete sequence"
NC_021589.1," Rotavirus G chicken/03V0567/DEU/2003 segment 4, complete sequence"
NC_021583.1," Rotavirus G chicken/03V0567/DEU/2003 segment 5, complete sequence"
NC_021588.1," Rotavirus G chicken/03V0567/DEU/2003 segment 6, complete sequence"
NC_021585.1," Rotavirus G chicken/03V0567/DEU/2003 segment 7, complete sequence"
NC_021584.1," Rotavirus G chicken/03V0567/DEU/2003 segment 8, complete sequence"
NC_021582.1," Rotavirus G chicken/03V0567/DEU/2003 segment 9, complete sequence"
NC_021586.1," Rotavirus G chicken/03V0567/DEU/2003 segment 10, complete sequence"
NC_021587.1," Rotavirus G chicken/03V0567/DEU/2003 segment 11, complete sequence"
NC_026825.2," Rotavirus I strain KE135/2012 VP1 gene, complete cds"
NC_026826.2," Rotavirus I strain KE135/2012 VP2 gene, complete cds"
NC_026827.2," Rotavirus I strain KE135/2012 VP3 gene, complete cds"
NC_026828.2," Rotavirus I strain KE135/2012 VP4 gene, complete cds"
NC_026820.2," Rotavirus I strain KE135/2012 NSP1-1 and NSP1-2 genes, complete cds"
NC_026829.2," Rotavirus I strain KE135/2012 VP6 gene, complete cds"
NC_026822.2," Rotavirus I strain KE135/2012 NSP3 gene, complete cds"
NC_026821.2," Rotavirus I strain KE135/2012 NSP2 gene, complete cds"
NC_026830.2," Rotavirus I strain KE135/2012 VP7 gene, complete cds"
NC_026823.2," Rotavirus I strain KE135/2012 NSP4 gene, complete cds"
NC_026824.2," Rotavirus I strain KE135/2012 NSP5 gene, complete cds"
NC_027198.1," Rottboellia yellow mottle virus culture-collection DSM:PV-0496, complete genome"
NC_024443.1," Roundleaf bat hepatitis B virus isolate RBHBV/GB09-256/Hip_rub/GAB/2009, complete genome"
NC_008298.1," Rousettus aegyptiacus papillomavirus type 1, complete genome"
NC_034219.1," Rousettus aegyptiacus polyomavirus 1 DNA, complete genome, strain: 12SuB01"
NC_018871.1," Rousettus bat coronavirus HKU10, complete genome"
NC_009021.1," Bat coronavirus HKU9-1, complete genome"
NC_030886.1," Rousettus bat coronavirus isolate GCCDC1 356, complete genome"
NC_040695.1," Rousettus leschenaultii bocaparvovirus 1 strain Rol-BtBoV1_56C_ML_YN_2012, complete genome"
NC_001407.1," Rous sarcoma virus, complete genome"
NC_023762.1," Boa arenavirus NL isolate 3 segment L, complete sequence"
NC_023761.1," Boa arenavirus NL isolate 3 segment S, complete sequence"
NC_039219.1," Royal Farm virus from Afghanistan polyprotein gene, complete cds"
NC_014129.1," Rubber viroid India/2009, complete genome"
NC_001545.2," Rubella virus, complete genome"
NC_019025.1," Rubus canadensis virus 1 isolate BM-01, complete genome"
NC_026238.1," Rubus yellow net virus strain Baumforth's Seedling A, complete genome"
NC_011920.1," Rudbeckia flower distortion virus, complete genome"
NC_040701.1," Rudphi virus 5 replicative protein and structural protein genes, complete cds"
NC_025428.1," Ruegeria phage DSS3-P1, complete genome"
NC_023895.1," Rupicapra rupicapra papillomavirus 1, complete genome"
NC_039041.1," Rusa timorensis papillomavirus type 1 isolate IZW 39/08, complete genome"
NC_040785.1," Rusa timorensis papillomavirus type 2 isolate IZW 39/08, complete genome"
NC_001814.1," Ryegrass mosaic virus, complete genome"
NC_003747.2," Ryegrass mottle virus isolate MAFF. No. 307043 from Japan, complete genome"
NC_039010.1," Rat arenavirus 1 isolate YN2013 segment L, complete sequence"
NC_039009.1," Rat arenavirus 1 isolate YN2013 segment S, complete sequence"
NC_043553.1," Sabo virus RdRp gene for RNA-dependent RNA polymerase, segment L, genomic RNA, isolate IB AN 9398"
NC_043552.1," Sabo virus Gn-Gc-NSm gene for M polyprotein, segment M, genomic RNA, isolate IB AN 9398"
NC_043554.1," Sabo virus N and NSs genes, segment S, genomic RNA, isolate IB AN 9398"
NC_033697.1," Saboya virus strain Dak AR D4600 polyprotein gene, complete cds"
NC_002066.1, Sacbrood virus complete genome
NC_004051.1," Saccharomyces 20S RNA narnavirus, complete genome"
NC_004050.1," Saccharomyces 23S RNA narnavirus, complete genome"
NC_001782.1," Saccharomyces cerevisiae killer virus M1, complete genome"
NC_003745.1," Saccharomyces cerevisiae virus L-A (L1), complete genome"
NC_001641.1," Saccharomyces cerevisiae virus L-BC (La), complete genome"
NC_032106.1," Saccharomyces kudriavzevii virus L-A1 isolate 1, complete genome"
NC_013464.1," Saccharum streak virus, complete genome"
NC_040462.1," Saesbyeol virus isolate Jeju segment 1, complete sequence"
NC_040463.1," Saesbyeol virus isolate Jeju segment 2, complete sequence"
NC_040461.1," Saesbyeol virus isolate Jeju segment 3 glycoprotein gene, complete cds"
NC_009448.2," Saffold virus, complete genome"
NC_036802.1," Saffron latent virus isolate Ir-Kh1, complete genome"
NC_001780.1," Saguaro cactus virus, complete genome"
NC_014567.1," Saimiriine herpesvirus 1, complete genome"
NC_016448.1," Saimiriine herpesvirus 4 strain SqSHV, complete genome"
NC_001350.1, Saimiriine herpesvirus 2 complete genome
NC_023496.1," Saimiri sciureus papillomavirus type 1 isolate Mac2066, complete genome"
NC_038559.1," Saimiri sciureus polyomavirus 1, complete genome"
NC_007580.2," Saint Louis encephalitis virus, complete genome"
NC_025386.1," Salem virus, complete genome"
NC_020844.1, Salicola phage CGphi29 genomic sequence
NC_042349.1," Salinibacter virus M8CC-19, complete genome"
NC_042350.1," Salinibacter virus M8CR30-2, complete genome"
NC_019540.1," Salinivibrio phage CW02, complete genome"
NC_047775.1," Salinivibrio phage SMHB1, complete genome"
NC_017983.1," Salisaeta icosahedral phage 1, complete genome"
NC_012986.1," Salivirus A isolate 02394-01, complete genome"
NC_025114.1," Salivirus FHB, complete genome"
NC_012957.1," Salivirus NG-J1, complete genome"
NC_025360.1," Atlantic salmon paramyxovirus isolate ASPV/Yrkje371/95, complete genome"
NC_031902.1," Salmonella phage 100268_sal2, complete genome"
NC_031946.1," Salmonella Phage 103203_sal5, complete genome"
NC_031930.1," Salmonella phage 118970_sal1, complete genome"
NC_031933.1," Salmonella phage 118970_sal2, complete genome"
NC_031940.1," Salmonella phage 118970_sal3, complete genome"
NC_030919.1," Salmonella phage 118970_sal4, complete genome"
NC_048149.1," Salmonella phage 1-23, complete genome"
NC_029072.1," Salmonella phage 19, complete genome"
NC_048145.1," Salmonella phage 3-29, complete genome"
NC_029045.1," Salmonella phage 37, complete genome"
NC_029042.1," Salmonella phage 38, complete genome"
NC_048004.1," Salmonella phage 3A_8767, complete genome"
NC_031918.1," Salmonella phage 64795_sal3, complete genome"
NC_015938.1," Salmonella phage 7-11, complete genome"
NC_025443.1," Salmonella phage 9NA, complete genome"
NC_031258.1," Salmonella phage BP12A, complete genome"
NC_031271.1," Salmonella phage BP12B, complete genome"
NC_031228.1," Salmonella phage BP12C, complete genome"
NC_031250.1," Salmonella phage BP63, complete genome"
NC_031925.1," Salmonella phage BPS11Q3, complete genome"
NC_031939.1," Salmonella phage BPS15Q2, complete genome"
NC_042096.1," Salmonella phage BPS17L1, complete genome"
NC_042097.1," Salmonella phage BPS17W1, complete genome"
NC_048105.1," Salmonella phage BSP161, complete genome"
NC_027119.1," Salmonella phage Det7, complete genome"
NC_019539.1, Salmonella phage vB_SenS-Ent1 complete genome
NC_004775.2," Enterobacteria phage epsilon15, complete genome"
NC_011976.1," Salmonella phage epsilon34, complete genome"
NC_028698.1," Salmonella phage f18SE, complete genome"
NC_005282.1," Enterobacteria phage Felix 01, complete genome"
NC_021774.1," Salmonella phage FSL SP-004, complete genome"
NC_021775.1," Salmonella phage FSL SP-031, complete genome"
NC_021772.1," Salmonella phage FSL SP-058, complete genome"
NC_021782.1," Salmonella phage FSL SP-076, complete genome"
NC_013059.1," Salmonella phage c341, complete genome"
NC_031045.1," Salmonella phage GG32, complete genome"
NC_031924.1," Salmonella phage IME207, complete genome"
NC_021777.1," Salmonella phage Jersey, complete genome"
NC_026017.1," Salmonella phage LSPA1, complete genome"
NC_048113.1," Salmonella phage Lumpael, complete genome"
NC_048000.1," Salmonella phage LVR16A, partial genome"
NC_031021.1," Salmonella phage MA12, complete genome"
NC_022772.1," Salmonella phage Marshall, complete genome"
NC_022768.1," Salmonella phage Maynard, complete genome"
NC_042044.1," Salmonella phage Melville, complete genome"
NC_041923.1," Salmonella phage Mushroom, complete genome"
NC_031042.1," Salmonella phage NR01, complete genome"
NC_010807.1," Salmonella phage phiSG-JL2, complete genome"
NC_031026.1," Salmonella phage phSE-2, complete genome"
NC_016071.1," Salmonella phage PVP-SE1, complete genome"
NC_019488.1," Salmonella phage RE-2010, complete genome"
NC_048005.1," Salmonella phage S113, complete genome"
NC_048006.1," Salmonella phage S114, complete genome"
NC_048007.1," Salmonella phage S116, complete genome"
NC_048013.1," Salmonella phage S124, complete genome"
NC_048008.1," Salmonella phage S126, complete genome"
NC_048009.1," Salmonella phage S131, complete genome"
NC_048010.1," Salmonella phage S132, complete genome"
NC_048011.1," Salmonella phage S133, complete genome"
NC_048012.1," Salmonella phage S147, complete genome"
NC_042025.1," Salmonella phage SE1 (in:Nonagvirus), complete genome"
NC_011802.1," Salmonella enterica bacteriophage SE1, complete genome"
NC_016763.1," Salmonella phage SE2, complete genome"
NC_048110.1," Salmonella phage Seafire, complete genome"
NC_029003.2," Salmonella phage SEN1, complete genome"
NC_028696.2," Salmonella phage SEN22, complete genome"
NC_028699.1," Salmonella phage SEN34, complete genome"
NC_029015.2," Salmonella phage SEN4, complete genome"
NC_028701.2," Salmonella phage SEN5, complete genome"
NC_047753.1," Salmonella phage SEN8, complete genome"
NC_022752.1," Salmonella phage SETP13, complete genome"
NC_009232.2," Salmonella phage SETP3, complete genome"
NC_022754.1," Salmonella phage SETP7, complete genome"
NC_016073.1," Salmonella phage SFP10, complete genome"
NC_019530.1," Salmonella phage PhiSH19, complete genome"
NC_028754.1," Salmonella phage Shivani, complete genome"
NC_041922.1," Salmonella phage Si3, complete genome"
NC_031129.1," Salmonella phage SJ46, complete genome"
NC_019910.1," Salmonella phage SKML-39, complete genome"
NC_047859.1," Salmonella phage SP01, complete genome"
NC_016761.1," Salmonella phage SPN1S, complete genome"
NC_019545.1," Salmonella phage SPN3UB, complete genome"
NC_027402.1," Salmonella phage SPN3US, complete genome"
NC_017985.1," Salmonella phage SPN9CC, complete genome"
NC_006940.2," Salmonella phage SS3e, complete genome"
NC_027351.1," Salmonella phage SSE-121, complete genome"
NC_018843.1," Salmonella phage SSU5, complete genome"
NC_014900.1," Salmonella phage ST160, complete genome"
NC_004313.1," Salmonella phage ST64B, complete genome"
NC_048089.1," Salmonella phage STG2, complete genome"
NC_027344.1," Salmonella phage STML-198, complete genome"
NC_026607.2," Salmonella phage STP4-a, complete genome"
NC_048062.1," Salmonella phage Sw2, complete genome"
NC_047875.1," Salmonella phage UPF_BP1, complete genome"
NC_031128.1," Salmonella phage vB_SalM_PM10, complete genome"
NC_023856.1," Salmonella phage vB_SalM_SJ2, complete genome"
NC_024122.1," Salmonella phage vB_SalM_SJ3, complete genome"
NC_018275.1," Salmonella phage vB_SemP_Emek, complete genome"
NC_020416.1," Salmonella phage S16, complete genome"
NC_041991.1," Salmonella phage vB_SenS_AG11, complete genome"
NC_023608.1, Salmonella phage vB_SenS-Ent2 complete genome
NC_024204.1, Salmonella phage vB_SenS-Ent3 complete genome
NC_047947.1," Salmonella phage vB_SenS_PHB07, complete genome"
NC_047786.1," Salmonella phage vB_SenS_Sasha, complete genome"
NC_031065.1," Salmonella phage vB_SnwM_CGG4-1, complete genome"
NC_018279.1," Salmonella phage vB_SosS_Oslo, complete genome"
NC_027329.1," Salmonella phage vB_SPuM_SP116, complete genome"
NC_047941.1," Salmonella phage vB_SpuP_Spp16, complete genome"
NC_015271.1, Salmonella phage Vi06 complete sequence
NC_010495.1," Salmonella phage E1, complete genome"
NC_041992.1," Salmonella phage wksl3, complete genome"
NC_047898.1," Salmonella phage YSP2, complete genome"
NC_048179.1," Salmonella phage ZCSE2, complete genome"
NC_042346.1," Salmonella virus BTP1 genome assembly, chromosome: BTP1"
NC_025442.1," Salmonella phage Chi, complete genome"
NC_021315.1," Enterobacteria phage Chi, complete genome"
NC_021779.1," Salmonella phage FSL SP-030, complete genome"
NC_021780.1," Salmonella phage FSL SP-088, complete genome"
NC_002730.1," Enterobacteria phage HK620, complete genome"
NC_021783.1," Salmonella phage iEPS5, complete genome"
NC_002371.2," Enterobacteria phage P22 virus, complete genome"
NC_005340.1," Enterobacteria phage PsP3, complete genome"
NC_004831.2," Enterobacteria phage SP6, complete genome"
NC_015269.1," Enterobacteria phage SPC35, complete genome"
NC_019417.1," Salmonella phage SPN19, complete genome"
NC_004348.1," Enterobacteria phage ST64T, complete genome"
NC_027297.1," Salmonella phage Stitch, complete genome"
NC_015296.1," Salmonella phage Vi01, complete genome"
NC_027707.1," Salmon gill poxvirus, complete genome"
NC_006505.1," Infectious salmon anemia virus segment 1, complete sequence"
NC_006503.1," Infectious salmon anemia virus segment 2, complete sequence"
NC_006502.1," Infectious salmon anemia virus segment 3, complete sequence"
NC_006501.1," Infectious salmon anemia virus segment 4, complete sequence"
NC_006500.2," Infectious salmon anemia virus segment 5 putative acetylesterase (P3) gene, complete cds"
NC_006499.1," Infectious salmon anemia virus segment 6, complete sequence"
NC_006498.1," Infectious salmon anemia virus segment 7, complete sequence"
NC_006497.1," Infectious salmon anemia virus segment 8, complete sequence"
NC_003930.1," Salmon pancreas disease virus, complete genome"
NC_034441.1," Salmovirus WFRC1, complete genome"
NC_040689.1," Salvia divinorum RNA virus 1 isolate Sdiv, complete genome"
NC_040690.1," Salvia hispanica RNA virus 1 isolate Chia-AV1, complete genome"
NC_040390.1," Sambucus virus S isolate B15 segment RNA1, complete sequence"
NC_040389.1," Sambucus virus S isolate B15 segment RNA2, complete sequence"
NC_040391.1," Sambucus virus S isolate B15 segment RNA3, complete sequence"
NC_043637.1," San Angelo virus strain 20230 segment L, complete sequence"
NC_043638.1," San Angelo virus strain 20230 segment M, complete sequence"
NC_043636.1," San Angelo virus strain 20230 segment S, complete sequence"
NC_034154.1," San Bernardo virus strain CoB37dA hypothetical protein 1, hypothetical protein 2, and hypothetical protein 3 genes, complete cds"
NC_006319.1," Toscana virus segment L, complete sequence"
NC_006320.1," Toscana virus segment M, complete sequence"
NC_006318.1," Toscana virus segment S, complete sequence"
NC_015412.1," Sandfly Sicilian Turkey virus segment L, complete genome"
NC_015411.1," Sandfly Sicilian Turkey virus segment M, complete genome"
NC_015413.1," Sandfly Sicilian Turkey virus segment S, complete genome"
NC_034517.1," Sangassou virus strain SA14 RNA polymerase (L) gene, complete cds"
NC_034516.1," Sangassou virus strain SA14 glycoprotein precursor (M) gene, complete cds"
NC_034526.1," Sangassou virus strain SA14 N protein (S) gene, complete cds"
NC_043556.1," Sango virus RdRp gene for RNA-dependent RNA polymerase, segment L, genomic RNA, isolate An 5077"
NC_043555.1," Sango virus Gn-Gc-NSm gene for M polyprotein, segment M, genomic RNA, isolate An 5077"
NC_043557.1," Sango virus N and NSs genes, segment S, genomic RNA, isolate An 5077"
NC_025676.1," San Miguel sea lion virus 8, complete genome"
NC_028234.1," Santa barbara virus strain AR775619, complete genome"
NC_015069.1," Santeuil nodavirus RNA 1, complete genome"
NC_015070.1," Santeuil nodavirus RNA 2, complete genome"
NC_032869.1," Sanxia atyid shrimp virus 1 strain SXXX35475 RdRp and hypothetical protein genes, complete cds"
NC_033185.1," Sanxia atyid shrimp virus 2 strain WHCCII13331 hypothetical protein gene, complete cds"
NC_033228.1," Sanxia atyid shrimp virus 3 strain SXXX37589 hypothetical protein 1 and hypothetical protein 2 genes, complete cds"
NC_033168.1," Sanxia atyid shrimp virus 4 strain SXXX37205 RNA-dependent RNA polymerase, putative glycoprotein, and hypothetical protein genes, complete cds"
NC_032835.1," Sanxia narna-like virus 1 strain SXXX35820 RNA-dependent RNA polymerase and hypothetical protein genes, complete cds"
NC_033188.1," Sanxia permutotetra-like virus 1 strain SXSSP2461 RdRp and hypothetical protein genes, complete cds"
NC_033235.1," Sanxia picorna-like virus 10 strain SXXX37528 hypothetical protein gene, complete cds"
NC_033221.1," Sanxia picorna-like virus 11 strain SXXX37695 hypothetical protein 1 and hypothetical protein 2 genes, complete cds"
NC_032403.1," Sanxia picorna-like virus 12 strain SXXX24153 hypothetical protein 1 and hypothetical protein 2 genes, complete cds"
NC_033266.1," Sanxia picorna-like virus 13 strain SXXX34014 hypothetical protein 1 and hypothetical protein 2 genes, complete cds"
